elapsed_s,utc,phase,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,utilization_percent,memory_used_mib,split,sequence,block_id,block_role,requested_power_limit_w,requested_clock_mhz,workload_phase
0.12734106799999267,2026-09-03T11:23:41.673100+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.22770753000000354,2026-09-03T11:23:41.773461+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.3273555330000022,2026-09-03T11:23:41.873108+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.42842338600000573,2026-09-03T11:23:41.974176+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.5284695330000062,2026-09-03T11:23:42.074233+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.6294187120000032,2026-09-03T11:23:42.175172+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.7289582439999975,2026-09-03T11:23:42.274714+00:00,initialization,210.0,405.0,15.63,57.0,0.0,0.0,,,,,,,
0.8288222120000057,2026-09-03T11:23:42.374575+00:00,initialization,210.0,405.0,15.63,58.0,0.0,0.0,,,,,,,
0.9313821810000036,2026-09-03T11:23:42.477135+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.0324062349999963,2026-09-03T11:23:42.578164+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.1385952410000044,2026-09-03T11:23:42.684354+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.2389140209999994,2026-09-03T11:23:42.784672+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.3416501170000004,2026-09-03T11:23:42.887403+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.4419027080000006,2026-09-03T11:23:42.987665+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.540761132,2026-09-03T11:23:43.086522+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.6427649700000018,2026-09-03T11:23:43.188521+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.7410283889999931,2026-09-03T11:23:43.286784+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.8473165540000025,2026-09-03T11:23:43.393079+00:00,initialization,1365.0,6251.0,23.36,58.0,0.0,0.0,,,,,,,
1.9408088419999956,2026-09-03T11:23:43.486565+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.042804289000003,2026-09-03T11:23:43.588560+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.1460184320000053,2026-09-03T11:23:43.691772+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.243854174000006,2026-09-03T11:23:43.789613+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.344756511,2026-09-03T11:23:43.890513+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.449844670999994,2026-09-03T11:23:43.995607+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.5454274800000007,2026-09-03T11:23:44.091181+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.6454326719999983,2026-09-03T11:23:44.191186+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.7476677389999935,2026-09-03T11:23:44.293426+00:00,initialization,285.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
2.8462848639999976,2026-09-03T11:23:44.392051+00:00,initialization,285.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
2.944656342000002,2026-09-03T11:23:44.490414+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.0421624380000054,2026-09-03T11:23:44.587924+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.144221467999998,2026-09-03T11:23:44.689979+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.2467328940000044,2026-09-03T11:23:44.792501+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.3471122180000066,2026-09-03T11:23:44.892869+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.4434389799999963,2026-09-03T11:23:44.989192+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.5476908920000056,2026-09-03T11:23:45.093448+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.645203133999999,2026-09-03T11:23:45.190956+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.7507673650000015,2026-09-03T11:23:45.296527+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.8495366949999976,2026-09-03T11:23:45.395298+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
3.951129776000002,2026-09-03T11:23:45.496890+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.050975399999999,2026-09-03T11:23:45.596734+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.147861929000001,2026-09-03T11:23:45.693618+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.253501021000005,2026-09-03T11:23:45.799261+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.351682332999999,2026-09-03T11:23:45.897445+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.449996724000002,2026-09-03T11:23:45.995756+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.551812659999996,2026-09-03T11:23:46.097573+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.653334575000002,2026-09-03T11:23:46.199088+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.752682956000001,2026-09-03T11:23:46.298436+00:00,initialization,210.0,6251.0,21.38,57.0,0.0,0.0,,,,,,,
4.852716573999999,2026-09-03T11:23:46.398480+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
4.952509849999998,2026-09-03T11:23:46.498268+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.056268283999998,2026-09-03T11:23:46.602024+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.153172197999993,2026-09-03T11:23:46.698930+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.252775368000002,2026-09-03T11:23:46.798532+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.358271673000004,2026-09-03T11:23:46.904029+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.455554473999996,2026-09-03T11:23:47.001309+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.561421796000005,2026-09-03T11:23:47.107180+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.660198551999997,2026-09-03T11:23:47.205956+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.763042639999995,2026-09-03T11:23:47.308800+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.852660165000003,2026-09-03T11:23:47.398413+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
5.951900378999994,2026-09-03T11:23:47.497653+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.052526987999997,2026-09-03T11:23:47.598280+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.152179705999998,2026-09-03T11:23:47.697932+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.2512778079999975,2026-09-03T11:23:47.797032+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.352751898999998,2026-09-03T11:23:47.898505+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.452683793000006,2026-09-03T11:23:47.998437+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.553586776000003,2026-09-03T11:23:48.099340+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.6534413450000045,2026-09-03T11:23:48.199194+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.759559792000005,2026-09-03T11:23:48.305317+00:00,initialization,210.0,6251.0,21.43,58.0,0.0,0.0,,,,,,,
6.856535127000001,2026-09-03T11:23:48.402292+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
6.957094932000004,2026-09-03T11:23:48.502854+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.0566893950000065,2026-09-03T11:23:48.602444+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.159656712,2026-09-03T11:23:48.705416+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.259072998999997,2026-09-03T11:23:48.804835+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.360150622999996,2026-09-03T11:23:48.905906+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.460364299999995,2026-09-03T11:23:49.006130+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.560333177999993,2026-09-03T11:23:49.106093+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.661547239000001,2026-09-03T11:23:49.207307+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.761371791000002,2026-09-03T11:23:49.307131+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.8615707019999945,2026-09-03T11:23:49.407328+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
7.962009863999995,2026-09-03T11:23:49.507767+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.060257043999997,2026-09-03T11:23:49.606011+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.164885214999998,2026-09-03T11:23:49.710650+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.264614678000001,2026-09-03T11:23:49.810372+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.360288316999998,2026-09-03T11:23:49.906045+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.460919359000002,2026-09-03T11:23:50.006677+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.562362652000004,2026-09-03T11:23:50.108123+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.661392481999997,2026-09-03T11:23:50.207150+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.761081322999999,2026-09-03T11:23:50.306838+00:00,initialization,210.0,6251.0,21.38,58.0,0.0,0.0,,,,,,,
8.862824637000003,2026-09-03T11:23:50.408589+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
8.963639784999998,2026-09-03T11:23:50.509401+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.065767476000005,2026-09-03T11:23:50.611528+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.163855424000005,2026-09-03T11:23:50.709613+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.264842462000004,2026-09-03T11:23:50.810600+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.369119446,2026-09-03T11:23:50.914878+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.467968514000006,2026-09-03T11:23:51.013729+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.570657088999994,2026-09-03T11:23:51.116414+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.666419859000001,2026-09-03T11:23:51.212178+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.764987332000004,2026-09-03T11:23:51.310749+00:00,initialization,210.0,6251.0,21.33,58.0,0.0,0.0,,,,,,,
9.869398316000002,2026-09-03T11:23:51.415155+00:00,initialization,210.0,6251.0,21.28,58.0,0.0,0.0,,,,,,,
9.967364168000003,2026-09-03T11:23:51.513121+00:00,initialization,210.0,6251.0,21.28,58.0,0.0,0.0,,,,,,,
