run,label,verdict,plant_resistance_scale,model_resistance_scale,target_time_s,max_voltage_v,voltage_violation_duration_s,max_cell_temperature_c,temperature_violation_duration_s,max_jig_temperature_c,mean_current_a,charged_capacity_ah,charge_balance_error_ah,minimum_voltage_margin_v,minimum_temperature_margin_c
fresh_nominal,"Fresh plant, nominal model",stands,1.0,1.0,1111.1558003864864,4.17,0.0,30.78413372722133,0.0,27.709719840091,9.719608412021472,2.9999997956952624,-2.043047380162477e-07,0.03000000000000025,4.215866272778669
high_resistance_stale,"High resistance, stale model",withdrawn,1.8,1.0,1335.6135075658422,4.250895654531231,245.54877585400388,32.43701661816023,0.0,29.030032941608713,8.086171701252377,3.0000000413025947,4.130259423362759e-08,-0.05089565453123068,2.5629833818397714
high_resistance_calibrated,"High resistance, fitted model",stands,1.8,1.8004726712666284,1538.4545685848889,4.169970366999704,0.0,31.206845993220888,0.0,28.4333734230148,7.020031022339479,2.9999996660905057,-3.3390949472078546e-07,0.030029633000296485,3.793154006779112
