time_minutes,timestamp_ms,timestamp_local,station_name,kind
75.506833,1720095330410,2024-07-04T08:15:30.410-04:00,de Maisonneuve / Aylmer (ouest),return
75.761550,1720095345693,2024-07-04T08:15:45.693-04:00,Prince-Arthur / St-Urbain,rental
76.639267,1720095398356,2024-07-04T08:16:38.356-04:00,Prince-Arthur / St-Urbain,rental
76.838683,1720095410321,2024-07-04T08:16:50.321-04:00,Prince-Arthur / St-Urbain,rental
77.332167,1720095439930,2024-07-04T08:17:19.930-04:00,de Maisonneuve / Aylmer (ouest),return
77.983717,1720095479023,2024-07-04T08:17:59.023-04:00,Prince-Arthur / St-Urbain,return
78.612433,1720095516746,2024-07-04T08:18:36.746-04:00,de Maisonneuve / Aylmer (ouest),return
79.522583,1720095571355,2024-07-04T08:19:31.355-04:00,Berri / Cherrier,rental
79.599817,1720095575989,2024-07-04T08:19:35.989-04:00,Berri / Cherrier,rental
80.226900,1720095613614,2024-07-04T08:20:13.614-04:00,Prince-Arthur / St-Urbain,return
80.394933,1720095623696,2024-07-04T08:20:23.696-04:00,de Maisonneuve / Aylmer (ouest),return
80.519817,1720095631189,2024-07-04T08:20:31.189-04:00,Berri / Cherrier,return
80.590050,1720095635403,2024-07-04T08:20:35.403-04:00,Berri / Cherrier,rental
80.889350,1720095653361,2024-07-04T08:20:53.361-04:00,de Maisonneuve / Aylmer (ouest),return
81.256833,1720095675410,2024-07-04T08:21:15.410-04:00,Berri / Cherrier,rental
81.269333,1720095676160,2024-07-04T08:21:16.160-04:00,Prince-Arthur / St-Urbain,rental
81.891983,1720095713519,2024-07-04T08:21:53.519-04:00,Berri / Cherrier,rental
81.937917,1720095716275,2024-07-04T08:21:56.275-04:00,Berri / Cherrier,rental
82.104267,1720095726256,2024-07-04T08:22:06.256-04:00,Berri / Cherrier,return
82.780633,1720095766838,2024-07-04T08:22:46.838-04:00,Prince-Arthur / St-Urbain,rental
83.470233,1720095808214,2024-07-04T08:23:28.214-04:00,Berri / Cherrier,rental
83.549817,1720095812989,2024-07-04T08:23:32.989-04:00,de Maisonneuve / Aylmer (ouest),return
83.771333,1720095826280,2024-07-04T08:23:46.280-04:00,Berri / Cherrier,rental
84.056517,1720095843391,2024-07-04T08:24:03.391-04:00,Berri / Cherrier,rental
84.354317,1720095861259,2024-07-04T08:24:21.259-04:00,Berri / Cherrier,rental
84.423717,1720095865423,2024-07-04T08:24:25.423-04:00,Berri / Cherrier,rental
84.445317,1720095866719,2024-07-04T08:24:26.719-04:00,Berri / Cherrier,rental
84.555733,1720095873344,2024-07-04T08:24:33.344-04:00,Berri / Cherrier,rental
84.691683,1720095881501,2024-07-04T08:24:41.501-04:00,Berri / Cherrier,rental
84.739133,1720095884348,2024-07-04T08:24:44.348-04:00,Berri / Cherrier,rental
84.855083,1720095891305,2024-07-04T08:24:51.305-04:00,de Maisonneuve / Aylmer (ouest),return
84.962433,1720095897746,2024-07-04T08:24:57.746-04:00,Berri / Cherrier,rental
85.098150,1720095905889,2024-07-04T08:25:05.889-04:00,Berri / Cherrier,rental
85.423317,1720095925399,2024-07-04T08:25:25.399-04:00,Berri / Cherrier,rental
85.441950,1720095926517,2024-07-04T08:25:26.517-04:00,de Maisonneuve / Aylmer (ouest),return
85.810350,1720095948621,2024-07-04T08:25:48.621-04:00,Berri / Cherrier,rental
86.459083,1720095987545,2024-07-04T08:26:27.545-04:00,de Maisonneuve / Aylmer (ouest),return
86.499967,1720095989998,2024-07-04T08:26:29.998-04:00,Berri / Cherrier,rental
86.532833,1720095991970,2024-07-04T08:26:31.970-04:00,Berri / Cherrier,rental
86.646533,1720095998792,2024-07-04T08:26:38.792-04:00,de Maisonneuve / Aylmer (ouest),return
86.783917,1720096007035,2024-07-04T08:26:47.035-04:00,Berri / Cherrier,rental
86.832167,1720096009930,2024-07-04T08:26:49.930-04:00,Berri / Cherrier,rental
88.284633,1720096097078,2024-07-04T08:28:17.078-04:00,Berri / Cherrier,rental
88.446967,1720096106818,2024-07-04T08:28:26.818-04:00,Berri / Cherrier,rental
88.499617,1720096109977,2024-07-04T08:28:29.977-04:00,Berri / Cherrier,rental
88.713283,1720096122797,2024-07-04T08:28:42.797-04:00,Berri / Cherrier,rental
89.031500,1720096141890,2024-07-04T08:29:01.890-04:00,Berri / Cherrier,return
89.464650,1720096167879,2024-07-04T08:29:27.879-04:00,Berri / Cherrier,rental
89.614450,1720096176867,2024-07-04T08:29:36.867-04:00,de Maisonneuve / Aylmer (ouest),return
89.780650,1720096186839,2024-07-04T08:29:46.839-04:00,Berri / Cherrier,rental
90.142233,1720096208534,2024-07-04T08:30:08.534-04:00,Prince-Arthur / St-Urbain,rental
90.684300,1720096241058,2024-07-04T08:30:41.058-04:00,de Maisonneuve / Aylmer (ouest),return
90.840333,1720096250420,2024-07-04T08:30:50.420-04:00,de Maisonneuve / Aylmer (ouest),return
90.879400,1720096252764,2024-07-04T08:30:52.764-04:00,Prince-Arthur / St-Urbain,return
90.975500,1720096258530,2024-07-04T08:30:58.530-04:00,Prince-Arthur / St-Urbain,rental
91.065800,1720096263948,2024-07-04T08:31:03.948-04:00,de Maisonneuve / Aylmer (ouest),return
92.654417,1720096359265,2024-07-04T08:32:39.265-04:00,Prince-Arthur / St-Urbain,return
92.974067,1720096378444,2024-07-04T08:32:58.444-04:00,Berri / Cherrier,return
93.450067,1720096407004,2024-07-04T08:33:27.004-04:00,de Maisonneuve / Aylmer (ouest),return
94.336967,1720096460218,2024-07-04T08:34:20.218-04:00,de Maisonneuve / Aylmer (ouest),return
95.030250,1720096501815,2024-07-04T08:35:01.815-04:00,Prince-Arthur / St-Urbain,return
95.201150,1720096512069,2024-07-04T08:35:12.069-04:00,Berri / Cherrier,rental
95.654783,1720096539287,2024-07-04T08:35:39.287-04:00,de Maisonneuve / Aylmer (ouest),return
96.147533,1720096568852,2024-07-04T08:36:08.852-04:00,de Maisonneuve / Aylmer (ouest),return
96.755100,1720096605306,2024-07-04T08:36:45.306-04:00,Prince-Arthur / St-Urbain,rental
96.792033,1720096607522,2024-07-04T08:36:47.522-04:00,Prince-Arthur / St-Urbain,rental
96.966600,1720096617996,2024-07-04T08:36:57.996-04:00,de Maisonneuve / Aylmer (ouest),rental
97.243217,1720096634593,2024-07-04T08:37:14.593-04:00,de Maisonneuve / Aylmer (ouest),return
