controller,profile_status,workload_checksum,completed_fraction,mean_ttft_s,p95_ttft_s,mean_tpot_s,p95_tpot_s,mean_latency_s,output_throughput_tokens_per_s,energy_j,energy_per_output_token_j,peak_power_w,peak_temperature_c,peak_kv_tokens,ttft_violation_rate,tpot_violation_rate,power_violation_w,thermal_violation_c,kv_violation_tokens,decode_stall_fraction,peak_queued_requests,peak_queued_requests_at_minimum_clock,unfinished_requests_at_reporting_horizon,unfinished_requests_at_end,reporting_horizon_s,matched_moved_burst_mean_ttft_s,matched_moved_burst_p95_ttft_s,queued_requests_at_30_s
nominal,engineering_proxy_not_measured,5c8dea379c05532e47ebb08cf7015668df2f5d49c399d6e1650755972e80ca40,1.0,7.101738172877141,12.442960477639843,0.015372617446285684,0.028441558441558466,7.422373093512059,21.114285714285625,2484.510508926504,1.6809949316146846,61.84324324324324,44.843019419339896,8402.016216216216,1.0,0.8253968253968254,0.0,0.0,0.0,0.0,29.0,1.0,22.0,0.0,60.0,5.832953352612915,10.968211907264918,0.0
shifted,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,6.74935722049607,19.344727240266415,0.02235950686794156,0.05429090909090986,7.328722299861157,24.88215488215464,2209.6767597927587,1.4950451690072792,61.84324324324324,43.41101123802999,8317.516216216216,0.9365079365079365,0.8888888888888888,0.0,0.0,0.0,0.3383084577114428,25.0,25.0,0.0,0.0,60.0,11.49232835261271,19.572450001673612,25.0
