clock_mhz,phase,prompt_tokens,concurrency,batches,tokens_per_s,minimum_tokens_per_s,maximum_tokens_per_s,power_w,realized_clock_mhz,source,plotted
210,decode,128,1,5,10.863822001730021,10.86319715338956,10.865086421212167,58.910756302520994,210.0,derived_legacy_l4_measurements,False
210,decode,128,4,5,39.41597798547539,39.41379970525983,39.418793531344654,48.32401515151514,210.0,derived_legacy_l4_measurements,False
210,decode,128,8,5,72.37485257844378,72.3682759233856,72.37510873678822,47.61986013986015,210.0,derived_legacy_l4_measurements,False
210,decode,1024,1,5,10.850253623225989,10.849245216233308,10.8511338912993,57.255271317829475,210.0,derived_legacy_l4_measurements,True
210,decode,1024,4,5,31.18235940284233,31.17999834310858,31.183159731557176,45.25107344632767,210.0,derived_legacy_l4_measurements,True
210,decode,1024,8,5,46.93353969939262,46.93275078737623,46.934828512489176,43.45788793103451,210.0,derived_legacy_l4_measurements,True
210,prefill,128,1,5,654.4419166284662,652.8217155267904,655.035206504816,30.83,210.0,derived_legacy_l4_measurements,False
210,prefill,128,4,5,765.8736261666802,765.7024077044161,766.0701899033749,38.30428571428571,210.0,derived_legacy_l4_measurements,False
210,prefill,128,8,5,807.170460317517,806.3123948537248,810.1788208654351,35.68384615384616,210.0,derived_legacy_l4_measurements,False
210,prefill,512,1,5,805.5575452809161,805.4894724248487,805.6534883056427,35.49285714285714,210.0,derived_legacy_l4_measurements,False
210,prefill,512,4,5,843.8175337419685,843.0027820841117,843.9353265030447,34.418749999999996,210.0,derived_legacy_l4_measurements,False
210,prefill,512,8,5,852.1321548882908,851.9842007317599,852.3875269746866,34.153673469387755,210.0,derived_legacy_l4_measurements,False
210,prefill,2048,1,5,831.2490591852583,831.01140577113,831.359894812712,33.81,210.0,derived_legacy_l4_measurements,True
210,prefill,2048,4,5,833.2776314565084,833.1471514215505,833.35261122476,34.07112244897957,210.0,derived_legacy_l4_measurements,True
210,prefill,2048,8,5,833.6271843293838,833.5974622728148,833.6990779261931,34.50188775510205,210.0,derived_legacy_l4_measurements,True
210,prefill,4096,1,5,799.7749303694944,799.7253838311648,799.8088413129713,34.32803921568627,210.0,derived_legacy_l4_measurements,False
210,prefill,4096,4,5,800.8413614316917,800.7806279355335,800.9280314775099,34.58590243902439,210.0,derived_legacy_l4_measurements,False
210,prefill,4096,8,5,801.0859017262602,801.0241116931039,801.1435504849587,34.92801470588236,210.0,derived_legacy_l4_measurements,False
660,decode,128,1,5,17.20434876675494,17.202784547927955,17.204585666587494,63.055733333333364,660.0,derived_legacy_l4_measurements,False
660,decode,128,4,5,65.02960846973727,65.02246785010158,65.03305446580703,60.121265822784835,660.0,derived_legacy_l4_measurements,False
660,decode,128,8,5,125.61570076726508,125.60864717758895,125.62380769057842,59.505783132530105,660.0,derived_legacy_l4_measurements,False
660,decode,1024,1,5,17.165354614247143,17.164753877629103,17.166345744445973,62.04833333333336,660.0,derived_legacy_l4_measurements,True
660,decode,1024,4,5,56.9564735604094,56.953336433730634,56.9575738667528,58.68105263157893,660.0,derived_legacy_l4_measurements,True
660,decode,1024,8,5,96.37879381532193,96.37734344744958,96.38271414385328,58.927500000000045,660.0,derived_legacy_l4_measurements,True
660,prefill,128,1,5,1588.597286965104,1586.6723489318808,1595.4747350651471,27.44,660.0,derived_legacy_l4_measurements,False
660,prefill,128,4,5,2138.82706214039,2127.7589948541417,2143.2737207544214,39.75333333333333,660.0,derived_legacy_l4_measurements,False
660,prefill,128,8,5,2328.797804029495,2319.1864462455273,2331.316082409566,54.18800000000001,660.0,derived_legacy_l4_measurements,False
660,prefill,512,1,5,2402.4562074124624,2395.2501889322557,2404.9757445046325,37.035,660.0,derived_legacy_l4_measurements,False
660,prefill,512,4,5,2550.08576064039,2548.464905596463,2551.1639479985915,55.52375,660.0,derived_legacy_l4_measurements,False
660,prefill,512,8,5,2581.4883233244054,2579.3806277386702,2590.837175539779,55.879999999999995,660.0,derived_legacy_l4_measurements,False
660,prefill,2048,1,5,2514.4271179774737,2513.559185151156,2515.6449377417334,53.918888888888894,660.0,derived_legacy_l4_measurements,True
660,prefill,2048,4,5,2533.7095965900676,2533.0746207834213,2534.6068354818617,54.765312500000014,660.0,derived_legacy_l4_measurements,True
660,prefill,2048,8,5,2537.8056901266286,2537.1270346799906,2538.0989421208424,55.47156249999998,660.0,derived_legacy_l4_measurements,True
