controller,profile_status,workload_checksum,completed_fraction,mean_ttft_s,p95_ttft_s,mean_tpot_s,p95_tpot_s,mean_latency_s,output_throughput_tokens_per_s,energy_j,energy_per_output_token_j,peak_power_w,peak_temperature_c,peak_kv_tokens,ttft_violation_rate,tpot_violation_rate,power_violation_w,thermal_violation_c,kv_violation_tokens,decode_stall_fraction,peak_queued_requests,peak_queued_requests_at_minimum_clock,unfinished_requests_at_reporting_horizon,unfinished_requests_at_end,reporting_horizon_s,matched_moved_burst_mean_ttft_s,matched_moved_burst_p95_ttft_s,matched_moved_burst_request_count,matched_moved_burst_observed_ttft_count,matched_moved_burst_censored_ttft_count,matched_moved_burst_ttft_status,queued_requests_at_30_s
nominal,measured_l4,83eb76de2122a44ae850471f7374e2224a7fa54c4c29c9c5a90b7756435c1258,1.0,16.35088613328323,28.08798615336724,0.043225703817607854,0.10733333333332723,17.08421946661655,10.47846889952159,3719.7123422399163,4.246246966027302,64.85183697881067,67.27849472848483,8605.158165947109,0.9791666666666666,0.14583333333333334,0.05183697881066962,0.0,0.0,0.5745454545454546,31.0,0.0,27.0,0.0,60.0,15.215288433378074,23.73816002307349,31,31,0,available_complete,0.0
shifted,measured_l4,b3371d90e3dc5d727253c0a0de1d4761f9cc48f6c0c38c838f918f3fdbc4233c,1.0,23.23213613328329,31.276759866879495,0.04655475860026736,0.10606617647058737,24.032136133283284,11.159235668789835,3646.8188106503835,4.163035171975324,64.85183697881067,67.17361882183299,8481.029274878401,1.0,0.125,0.05183697881066962,0.0,0.0,0.5704697986577181,30.0,29.0,22.0,0.0,60.0,22.731417465636106,32.038160023073964,31,31,0,available_complete,29.0
