controller,mean_discounted_return,mean_queue_length,mean_waiting_time_s,mean_decode_stalls,mean_dropped_arrivals,episodes,horizon_steps,coverage_fraction,policy_disagreement_fraction
exact_dp,-494.8740216059254,3.2504733333333333,2.368578772708819,0.0,5.057486440214756,2000,300,,
broad_fqi,-538.8894769389485,3.480711666666667,2.554125891644863,55.014,5.030630371647403,2000,300,1.0,0.04081632653061224
narrow_fqi,-1757.0452072910402,9.825883333333334,80.71851498676848,266.196,28.291689963176943,2000,300,0.15748031496062992,0.710204081632653
