controller,profile_status,workload_checksum,completed_fraction,mean_ttft_s,p95_ttft_s,mean_tpot_s,p95_tpot_s,mean_latency_s,output_throughput_tokens_per_s,energy_j,energy_per_output_token_j,peak_power_w,peak_temperature_c,peak_kv_tokens,ttft_violation_rate,tpot_violation_rate,power_violation_w,thermal_violation_c,kv_violation_tokens,decode_stall_fraction,peak_queued_requests,peak_queued_requests_at_minimum_clock,unfinished_requests_at_reporting_horizon,unfinished_requests_at_end,reporting_horizon_s,matched_moved_burst_mean_ttft_s,matched_moved_burst_p95_ttft_s,queued_requests_at_30_s
nominal,engineering_proxy_not_measured,5c8dea379c05532e47ebb08cf7015668df2f5d49c399d6e1650755972e80ca40,1.0,7.122373093512062,12.442960477639843,0.016574595822177098,0.03294117647058636,7.455706426845392,21.114285714285625,2477.4090913770865,1.6761901836110193,61.84324324324324,44.82709766292531,8402.016216216216,1.0,0.8253968253968254,0.0,0.0,0.0,0.048,29.0,4.0,22.0,0.0,60.0,5.832953352612915,10.968211907264918,0.0
shifted,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,6.769992141130991,19.344727240266415,0.023561485243832978,0.05545454545454624,7.36205563319449,24.88215488215464,2202.575342243342,1.4902404210036144,61.84324324324324,43.389457621029166,8317.516216216216,0.9365079365079365,0.8888888888888888,0.0,0.0,0.0,0.357487922705314,25.0,25.0,0.0,0.0,60.0,11.49232835261271,19.572450001673612,25.0
