controller,profile_status,workload_checksum,completed_fraction,mean_ttft_s,p95_ttft_s,mean_tpot_s,p95_tpot_s,mean_latency_s,output_throughput_tokens_per_s,energy_j,energy_per_output_token_j,peak_power_w,peak_temperature_c,peak_kv_tokens,ttft_violation_rate,tpot_violation_rate,power_violation_w,thermal_violation_c,kv_violation_tokens,decode_stall_fraction,peak_queued_requests,peak_queued_requests_at_minimum_clock,unfinished_requests_at_reporting_horizon,unfinished_requests_at_end,reporting_horizon_s,successful_solves,fallback_count,control_period_s,horizon_steps,solve_time_deadline_s,accepted_solves_met_deadline
maximum_clock,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,3.914436585575396,10.944727240266294,0.014342352810219443,0.02727272727272766,4.222373093511907,24.88215488215464,2347.9318364518394,1.5885871694532068,61.84324324324324,43.437973532613896,8317.516216216216,0.9365079365079365,0.7936507936507936,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0,,,,,,
reactive,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,4.816023887162707,11.944727240266308,0.017471784826265713,0.033333333333333805,5.171579442718267,24.633333333333095,2255.1523381768866,1.52581348997083,61.84324324324324,42.816978794424024,8761.93043478261,1.0,0.8412698412698413,0.0,0.0,0.0,0.15714285714285714,21.0,9.0,1.0,0.0,60.0,,,,,,
offline,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,6.74935722049607,19.344727240266415,0.02235950686794156,0.05429090909090986,7.328722299861157,24.88215488215464,2209.6767597927587,1.4950451690072792,61.84324324324324,43.41101123802999,8317.516216216216,0.9365079365079365,0.8888888888888888,0.0,0.0,0.0,0.3383084577114428,25.0,25.0,0.0,0.0,60.0,,,,,,
mpc,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,4.135071506210317,11.144727240266297,0.015587008800851293,0.04500000000000062,4.484277855416671,24.798657718120566,2291.4210451153435,1.5503525339075397,61.84324324324324,43.01983144102286,7891.016216216216,0.9523809523809523,0.8095238095238095,0.0,0.0,0.0,0.01652892561983471,21.0,7.0,0.0,0.0,60.0,58,2,1.0,10,0.8,True
