time_s,charge_current_a,soc,clean_voltage_v,measured_voltage_v
0.0,0.0,0.2,3.220395619705062,3.220429812472315
0.5,0.0,0.2,3.220395619705062,3.221755367245372
1.0,0.0,0.2,3.220395619705062,3.2216203407836477
1.5,0.0,0.2,3.220395619705062,3.219885312628274
2.0,0.0,0.2,3.220395619705062,3.2200976501939556
2.5,0.0,0.2,3.220395619705062,3.2198682355120285
3.0,0.0,0.2,3.220395619705062,3.2209653460626337
3.5,0.0,0.2,3.220395619705062,3.2203395552660163
4.0,0.0,0.2,3.220395619705062,3.2211425053213185
4.5,0.0,0.2,3.220395619705062,3.2185482949060877
5.0,0.0,0.2,3.220395619705062,3.2219621684797612
5.5,0.0,0.2,3.220395619705062,3.220299187544906
6.0,0.0,0.2,3.220395619705062,3.221075998158336
6.5,0.0,0.2,3.220395619705062,3.220259053371085
7.0,0.0,0.2,3.220395619705062,3.220016521137987
7.5,0.0,0.2,3.220395619705062,3.2208587298636595
8.0,0.0,0.2,3.220395619705062,3.221220133232592
8.5,0.0,0.2,3.220395619705062,3.2201930898343685
9.0,0.0,0.2,3.220395619705062,3.2202428335264917
9.5,0.0,0.2,3.220395619705062,3.2210813183158713
10.0,0.0,0.2,3.220395619705062,3.219525279063115
10.5,0.0,0.2,3.220395619705062,3.2188812362013306
11.0,0.0,0.2,3.220395619705062,3.220790601567811
11.5,0.0,0.2,3.220395619705062,3.219725053881374
12.0,0.0,0.2,3.220395619705062,3.218475279114944
12.5,0.0,0.2,3.220395619705062,3.2195815660411164
13.0,0.0,0.2,3.220395619705062,3.2199280221461692
13.5,0.0,0.2,3.220395619705062,3.2192024172276295
14.0,0.0,0.2,3.220395619705062,3.218903155820999
14.5,0.0,0.2,3.220395619705062,3.2204322575320066
15.0,0.0,0.2,3.220395619705062,3.2212928689617897
15.5,0.0,0.2,3.220395619705062,3.2201624876271016
16.0,0.0,0.2,3.220395619705062,3.219652023675553
16.5,0.0,0.2,3.220395619705062,3.22078061351381
17.0,0.0,0.2,3.220395619705062,3.2211128555122563
17.5,0.0,0.2,3.220395619705062,3.2200956091065733
18.0,0.0,0.2,3.220395619705062,3.220940287512983
18.5,0.0,0.2,3.220395619705062,3.2214384951816446
19.0,0.0,0.2,3.220395619705062,3.2201886632688534
19.5,0.0,0.2,3.220395619705062,3.2195821041630803
20.0,5.0,0.2,3.355395619705062,3.3557432703035777
20.5,5.0,0.20013888888888887,3.3573912133511548,3.3576387590921177
21.0,5.0,0.20027777777777778,3.3593485517515225,3.360447364519937
21.5,5.0,0.20041666666666663,3.361268423743419,3.3599838429646134
22.0,5.0,0.20055555555555557,3.3631516018374796,3.3624899889071242
22.5,5.0,0.20069444444444443,3.3649988426674513,3.3641606757067355
23.0,5.0,0.20083333333333334,3.3668108868332296,3.3650768719869966
23.5,5.0,0.2009722222222222,3.3685884602942333,3.3687148948494303
24.0,5.0,0.20111111111111107,3.370332269936884,3.3708600741493795
24.5,5.0,0.20124999999999998,3.3720430159003287,3.371304225868853
25.0,5.0,0.2013888888888889,3.37372137992553,3.375107027000026
25.5,5.0,0.20152777777777778,3.3753680297315,3.37618995406816
26.0,5.0,0.20166666666666663,3.3769836192782208,3.377610995757056
26.5,5.0,0.20180555555555552,3.378568789039113,3.3789704961305542
27.0,5.0,0.20194444444444443,3.380124166402591,3.3810798359670398
27.5,5.0,0.2020833333333333,3.381650365573778,3.3803183857342347
28.0,5.0,0.20222222222222222,3.3831479882166064,3.3837619178748564
28.5,5.0,0.2023611111111111,3.384617623593174,3.3852204004267072
29.0,5.0,0.20249999999999999,3.3860598488199054,3.384292130242762
29.5,5.0,0.20263888888888884,3.3874752291265593,3.3878222592286136
30.0,0.0,0.20277777777777775,3.253864318079265,3.253613896732555
30.5,0.0,0.20277777777777775,3.253232002005365,3.254013524701427
31.0,0.0,0.20277777777777775,3.252612722881989,3.252173660694351
31.5,0.0,0.20277777777777775,3.2520062119142574,3.251987971056608
32.0,0.0,0.20277777777777775,3.2514122058492543,3.251755057366572
32.5,0.0,0.20277777777777775,3.250830446862452,3.2499541851737077
33.0,0.0,0.20277777777777775,3.2502606824624247,3.250859279110605
33.5,0.0,0.20277777777777775,3.2497026653460206,3.249597702157497
34.0,0.0,0.20277777777777775,3.2491561533088604,3.2496486359325396
34.5,0.0,0.20277777777777775,3.248620909140211,3.2480990716338742
35.0,0.0,0.20277777777777775,3.2480967005200214,3.249182902063299
35.5,0.0,0.20277777777777775,3.247583299918094,3.2481885018965233
36.0,0.0,0.20277777777777775,3.247080484495327,3.2469024594706077
36.5,0.0,0.20277777777777775,3.2465880360070027,3.247219993164096
37.0,0.0,0.20277777777777775,3.2461057407080767,3.247365495869435
37.5,0.0,0.20277777777777775,3.245633389260422,3.2474245647739197
38.0,0.0,0.20277777777777775,3.2451707766420044,3.243597200271564
38.5,0.0,0.20277777777777775,3.24471770206642,3.2456008338780427
39.0,0.0,0.20277777777777775,3.2442739688737783,3.2447390373822915
39.5,0.0,0.20277777777777775,3.2438393844642714,3.243745523684085
40.0,0.0,0.20277777777777775,3.2434137602090565,3.2424070952740793
40.5,0.0,0.20277777777777775,3.242996911368381,3.244254099981854
41.0,0.0,0.20277777777777775,3.2425886570113973,3.241326919017953
41.5,0.0,0.20277777777777775,3.2421888199376316,3.2427557654033663
42.0,0.0,0.20277777777777775,3.2417972266000707,3.2430990945962734
42.5,0.0,0.20277777777777775,3.2414137070425273,3.239814037754476
43.0,0.0,0.20277777777777775,3.2410380948627733,3.24073557702229
43.5,0.0,0.20277777777777775,3.2406702270208787,3.2393610102033623
44.0,0.0,0.20277777777777775,3.2403099438372824,3.240553997945318
44.5,0.0,0.20277777777777775,3.239957088923555,3.24147146405423
45.0,0.0,0.20277777777777775,3.2396115090824145,3.241635065111587
45.5,0.0,0.20277777777777775,3.239273054334042,3.2374949398911586
46.0,0.0,0.20277777777777775,3.2389415777660933,3.2383666287603723
