controller,mean_discounted_return,mean_queue_length,mean_waiting_time_s,mean_decode_stalls,mean_dropped_arrivals,episodes,horizon_steps,coverage_fraction,policy_disagreement_fraction
exact_dp,-473.2981449107557,2.819135,1.9356917714160031,96.553,3.191905324568008,2000,300,,
broad_fqi,-488.38296071164086,2.8249600000000004,1.876054609352378,119.5965,2.0757165269511466,2000,300,1.0,0.08163265306122448
narrow_fqi,-1290.2309145734948,5.99335,4.321173595299979,272.797,1.5208911921436528,2000,300,0.15433070866141732,0.6326530612244898
