controller,profile_status,workload_checksum,completed_fraction,mean_ttft_s,p95_ttft_s,mean_tpot_s,p95_tpot_s,mean_latency_s,output_throughput_tokens_per_s,energy_j,energy_per_output_token_j,peak_power_w,peak_temperature_c,peak_kv_tokens,ttft_violation_rate,tpot_violation_rate,power_violation_w,thermal_violation_c,kv_violation_tokens,decode_stall_fraction,peak_queued_requests,peak_queued_requests_at_minimum_clock,unfinished_requests_at_reporting_horizon,unfinished_requests_at_end,reporting_horizon_s,matched_moved_burst_mean_ttft_s,matched_moved_burst_p95_ttft_s,queued_requests_at_30_s
nominal,engineering_proxy_not_measured,5c8dea379c05532e47ebb08cf7015668df2f5d49c399d6e1650755972e80ca40,1.0,7.103325474464443,12.442960477639843,0.015145860076671172,0.028441558441558466,7.422373093512059,21.114285714285625,2483.8993274593226,1.6805814123540748,61.84324324324324,44.84155050673131,8402.016216216216,1.0,0.8095238095238095,0.0,0.0,0.0,0.0,29.0,1.0,22.0,0.0,60.0,5.832953352612915,10.968211907264918,0.0
shifted,engineering_proxy_not_measured,d2b13c340474ec20f5e582795c51cbae1b7f670010dcf5b7e15c2987f906a028,1.0,6.750944522083373,19.344727240266415,0.022132749498327046,0.05429090909090986,7.328722299861157,24.88215488215464,2209.065578325577,1.4946316497466692,61.84324324324324,43.40902274009358,8317.516216216216,0.9365079365079365,0.873015873015873,0.0,0.0,0.0,0.34,25.0,25.0,0.0,0.0,60.0,11.49232835261271,19.572450001673612,25.0
