metric,component,spacecraft,value,unit,metrics_sha256
nonlinear_replay.final_cyclic_gap_error_deg,0,Leader,-6.7682157660613456,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_cyclic_gap_error_deg,1,Follower 1,-4.7691964713805817,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_cyclic_gap_error_deg,2,Follower 2,11.537412237441913,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.max_abs_final_cyclic_gap_error_deg,,,11.537412237441913,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_cyclic_relative_rate_deg_per_day,0,Leader,0.0087274261200238623,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_cyclic_relative_rate_deg_per_day,1,Follower 1,0.02241645390631497,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_cyclic_relative_rate_deg_per_day,2,Follower 2,-0.031143880026338833,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.max_abs_final_cyclic_relative_rate_deg_per_day,,,0.031143880026338833,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.minimum_altitude_km,,,469.94068548616815,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.reference_final_altitude_km,,,471.22854048518457,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.density_min_kg_m3,,,2.2637430969690744e-13,kg/m^3,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.density_max_kg_m3,,,3.4033795477102926e-13,kg/m^3,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.coarse_step_hours,,,1,hour,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.fine_step_hours,,,0.5,hour,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.max_phase_delta_deg,,,3.1014764090286917e-09,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.max_relative_rate_delta_deg_per_day,,,6.3332783462044517e-11,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.max_extra_loss_delta_km,,,5.2750692702829838e-11,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.max_altitude_delta_km,,,3.1832314562052488e-11,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.max_density_delta_kg_m3,,,1.4641258400901979e-25,kg/m^3,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.terminal_gap_delta_deg,,,3.1011921919343877e-09,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
replay_refinement.terminal_cyclic_rate_delta_deg_per_day,,,1.0733858246680938e-11,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.derived_coefficients,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.solver_status,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.nominal_dynamics,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.action_bounds,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.nominal_terminal_gaps,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.nominal_terminal_rates,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.plan_identity,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.replay_finite,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.replay_resolution,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.density_variation,,,true,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.altitude_safe,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.extra_loss_nonnegative,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.primary_objective_locked,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.tv_refinement,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
validation.nonlinear_stress_test_visible,,,true,boolean,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
