controller,mean_discounted_return,mean_queue_length,mean_waiting_time_s,mean_decode_stalls,mean_dropped_arrivals,episodes,horizon_steps,coverage_fraction,policy_disagreement_fraction
exact_dp,-317.3398345931837,1.8681983333333334,3.0232774186041054,0.0,0.5553903663543085,2000,300,,
broad_fqi,-375.19958016078004,2.248425,3.7512539860999086,79.3035,0.45201402097353144,2000,300,1.0,0.13877551020408163
narrow_fqi,-1096.7123776714652,6.356303333333334,21.20044019541282,216.8095,2.781294206980381,2000,300,0.13858267716535433,0.6816326530612244
