seed,update,environment_steps,elapsed_seconds,mean_step_reward,mean_episode_return,episodes_completed,minimum_tension,mean_command_speed,approximate_kl,clip_fraction,entropy,gradient_norm,loss,policy_loss,value_loss
3,1,2048,9.008138084085658,-0.005954765325866711,nan,0,-166.5837666809295,0.4916054933386881,0.009649849769210943,0.14501953125,1.1960740202388762,0.7093292148229556,-0.0007948879020758044,-0.01729432310331414,0.03539101844295442
3,2,4096,9.10523808398284,-0.005351040577982127,nan,0,-164.12684913899676,0.48308273084140274,0.009587027360388321,0.1478271484375,1.1988798056594259,0.7704280835627665,0.00016095297969388744,-0.015451753681293954,0.03362317293329453
3,3,6144,9.18167187506333,-0.005411542560940378,nan,0,-183.69565569657223,0.5111153247848739,0.011201152304976156,0.1634521484375,1.1774631507647153,0.8487214391168276,0.0018832294092932431,-0.01686634590568121,0.03985407693147834
3,4,8192,9.259430375183001,-0.00529909049077627,nan,0,-172.85752197716295,0.47952844974311926,0.009088690184393358,0.1363525390625,1.1544148564776304,0.8907746694794174,0.0034600784962120048,-0.014071905375095303,0.03737279745556987
3,5,10240,9.329076834022999,-0.004504954837499764,nan,0,-183.03644643150355,0.48400150366175465,0.010245906447226024,0.1551513671875,1.1305526458364812,0.9598916453381741,4.137439787928708e-05,-0.014872252262456103,0.03208835861234374
3,6,12288,9.39882304216735,-0.0056953046084989595,nan,0,-195.62025918670267,0.45443726592329886,0.011778029013495308,0.178955078125,1.0854343968391122,0.9938168277739055,-0.004837200968340454,-0.018628488247184896,0.029753443351367113
3,7,14336,9.47108754212968,-0.0012198650556980233,-8.425859812838912,8,-184.0638802717443,0.5107232153275161,0.011179755286611753,0.16064453125,1.0603711223858763,1.0048627078290844,-0.00012534359403242046,-0.014039843483416026,0.02994974202353896
3,8,16384,9.55883370898664,-0.005030552810235856,nan,0,-191.02381813017695,0.46475393551388267,0.0069397323815672245,0.0947265625,0.9822264658329736,0.9701099763773786,0.0018979216753875275,-0.011933789410153009,0.029627875102747017
3,9,18432,9.654266959056258,-0.006150197460224193,nan,0,-189.1596024098937,0.4702891712460054,0.010605582797855138,0.16064453125,0.900853021280196,1.0038748427519768,-0.005259341530627959,-0.016182120140240473,0.023647263261785418
3,10,20480,9.727011250099167,-0.004108397319671729,nan,0,-190.91911543739926,0.5048305601844625,0.01035235251972813,0.1566162109375,0.8208688972160076,0.8851044974653764,-0.007580847004405078,-0.01643298329548415,0.01934601037659015
3,11,22528,9.79826758406125,-0.00555146021997076,nan,0,-190.69942992124788,0.4495115219606105,0.010017964303092111,0.1494140625,0.7310122572117367,1.115284800291224,-0.004319468260359844,-0.013751374411561348,0.02032583681682648
3,12,24576,9.88656070898287,-0.005197560086209514,nan,0,-212.16408230932527,0.4312626325004281,0.009895410321191522,0.145751953125,0.587722880381149,1.0252857533775135,-0.009794322025667,-0.016387299391944436,0.014361400493317175
3,13,26624,9.956617209129035,0.0023348205635236254,-7.424133758300654,8,-202.0191399812512,0.4633999640539278,0.008524698269548093,0.1285400390625,0.5019165287709388,0.9677744832840993,0.006230094047866116,-0.010567106317262754,0.034598233787799616
3,14,28672,10.028962375130504,-0.005337391435289236,nan,0,-193.646911921172,0.4600763394724417,0.008745810531545838,0.1258544921875,0.39611898276838525,1.0587483496126717,-0.00834094002941453,-0.013538334558898288,0.011187027024504297
3,15,30720,10.111538584111258,-0.005266381321335025,nan,0,-181.50126906094485,0.44637700362299604,0.009415847367220573,0.1387939453125,0.2312131916591973,1.2977923031995426,-0.011082393332555682,-0.014938175193392888,0.00817399010499281
3,16,32768,10.19364970899187,-0.005768577866787899,nan,0,-184.70776487660655,0.45222380220160513,0.0075810290779757625,0.1068115234375,0.12275613845117972,1.123192829910205,-0.008426238854585003,-0.012586096609817271,0.008565227787366897
3,17,34816,10.289675374981016,-0.00553442780722549,nan,0,-184.4897767866486,0.4668979022855758,0.00853410986815895,0.1259765625,-0.044365246327212504,1.268016209893236,-0.010768957146087735,-0.013688850160453209,0.005751055536076523
3,18,36864,10.360979417106137,-0.005469001392068455,nan,0,-194.06502433139653,0.4496551476687859,0.006895511965764581,0.0904541015625,-0.15721885940761648,1.2675010061312055,-0.0065602237613082755,-0.009932758348745789,0.00643063145605979
3,19,38912,10.440917167114094,0.004352816201677665,-6.894535359992213,8,-192.27856780804157,0.4554091830787031,0.007890176364648173,0.113525390625,-0.296595598606861,0.8342214077039203,0.012481703678963842,-0.005922003967803095,0.03621422409632015
3,20,40960,10.511950375046581,-0.005840567471373051,nan,0,-125.39086520193679,0.42623007883475283,0.007013229240258685,0.0936279296875,-0.3843300443121702,1.1151958725013995,-0.007132154998971952,-0.00940611009959761,0.0037792501126269772
3,21,43008,10.586094084195793,-0.005562824897584138,nan,0,-103.55999398459771,0.41289305137573096,0.008132062960880704,0.11669921875,-0.5694896625658584,1.2056035870035597,-0.010676127186409505,-0.013041922590252369,0.0035926114825540166
3,22,45056,10.65648779203184,-0.005464567669464169,nan,0,-63.52787491271551,0.4295982630682485,0.008718990640991083,0.127685546875,-0.7668064006181512,1.3636870875907499,-0.010227549146306629,-0.012380404380275059,0.0027720976667005488
3,23,47104,10.72997450013645,-0.006085964750678673,nan,0,71.45051233332302,0.45915184297923733,0.010172937273178417,0.147705078125,-0.813191611036277,1.6069088826986007,-0.010094579089861213,-0.012123435139476014,0.0024313288771570427
3,24,49152,10.801902417093515,-0.005668272179342406,nan,0,3.1835641421994296,0.42380670871147064,0.007329814435387076,0.104248046875,-1.0267033863165749,1.2108880156729915,-0.008910386938307337,-0.010834805285590133,0.001795429921932443
3,25,51200,10.870697542093694,-0.005512813408620332,-6.515729574632529,8,-69.73369877253593,0.4312987053800791,0.005928009189946084,0.0732421875,-1.1796343575352741,1.0765730957449802,-0.004126153998092022,-0.006200114850490109,0.0017886529897256274
3,26,53248,17.669715292053297,0.005256013435092792,nan,0,196.8087300934703,0.46825786420581916,0.004402798680089569,0.0465087890625,-1.3457569705075596,0.9938948055247334,0.020080324341071515,-0.0012256344244932068,0.03992040359011432
3,27,55296,17.740937625057995,-0.0056178243005601345,nan,0,200.84663080870965,0.41881515870803027,0.007572477383773453,0.1087646484375,-1.4069773640442516,1.2789901201892933,-0.0072147807915812195,-0.009297949577693249,0.0013523828441355519
3,28,57344,17.814328000182286,-0.005850238811560205,nan,0,229.60554687808116,0.4307162327175435,0.005292197449478921,0.0660400390625,-1.5583487435434114,1.2547147399884293,-0.003869631638462101,-0.006114864351500467,0.0013737679389899118
3,29,59392,17.883460000157356,-0.005853359407486055,nan,0,99.80388995374933,0.4419544105019846,0.0067618774219362805,0.0948486328125,-1.6454217052309814,1.2401553238630418,-0.0051552833063035625,-0.00753197520193704,0.001462540380804994
3,30,61440,17.953394459094852,-0.005590027378494964,nan,0,189.0838133873174,0.41439856241187445,0.005755431833983772,0.0709228515625,-1.8603326220691514,1.138365274318568,-0.001553123261887123,-0.0038493995793348577,0.0008718873907571727
3,31,63488,18.02334012510255,-0.005983884014319507,nan,0,284.55573273135786,0.44811991400096635,0.005992292308371338,0.0772705078125,-1.922242867558949,1.1646874125020776,-0.0038174711667484213,-0.006303450417092184,0.0011274727655696272
3,32,65536,18.09483962506056,0.0057775968098226355,-6.404719255951065,8,277.60944464315463,0.46655774343208356,0.0036711810963249705,0.0360107421875,-2.0433719549165024,0.9373501489375478,0.021666691933202666,-0.0006927935897637532,0.04063222713609984
3,33,67584,18.166530084097758,-0.0057642892132531345,nan,0,304.64978025543724,0.4353486400439293,0.006668240545484373,0.0904541015625,-2.009171013909529,1.1872024507084613,-0.0034088441629150385,-0.006027260229968601,0.001218490106288063
