seed,checkpoint_target,environment_steps,elapsed_seconds,episode_count,success_rate,return_mean,return_standard_deviation,conditional_time_to_rotation,integrated_effort_mean,minimum_tension_mean,minimum_tension_worst,negative_tension_rate_mean,checkpoint,showcase_trace
3,0,0,7.920898497104645e-07,100,0.0,-8.011662711759806,0.015725748755579635,nan,0.013181346964277125,489.2428130187582,486.95904204503177,0.0,seed_3/checkpoints/step_0000000.npz,seed_3/showcase/step_0000000.npz
3,50000,51200,10.871496084146202,100,0.0,-5.07928643005695,0.018374939007952396,nan,0.216441586735824,393.96678693866704,391.17290469724384,0.0,seed_3/checkpoints/step_0051200.npz,seed_3/showcase/step_0051200.npz
3,100000,100352,19.36278387508355,100,0.0,-4.98863435075136,0.01980497674865572,nan,0.3070358288628743,390.8559326115301,387.9576648877844,0.0,seed_3/checkpoints/step_0100352.npz,seed_3/showcase/step_0100352.npz
3,150000,151552,28.177483417093754,100,0.0,-5.025513794074836,0.03760893148712392,nan,0.8806375305361044,390.70898604009426,387.8140151431767,0.0,seed_3/checkpoints/step_0151552.npz,seed_3/showcase/step_0151552.npz
3,200000,200704,37.3681340420153,100,0.0,-5.088267863671451,0.06628111599707757,nan,1.7398341243309536,390.6099063441083,387.7431707639797,0.0,seed_3/checkpoints/step_0200704.npz,seed_3/showcase/step_0200704.npz
3,250000,251904,46.95956054213457,100,0.0,-5.111182525659551,0.07722634275533936,nan,2.069873066712586,390.52543056185544,387.6730688368233,0.0,seed_3/checkpoints/step_0251904.npz,seed_3/showcase/step_0251904.npz
3,300000,301056,54.21735616703518,100,0.0,-5.212189162926962,0.12100773058476326,nan,3.3378863623193866,390.6774666229581,387.98567996420303,0.0,seed_3/checkpoints/step_0301056.npz,seed_3/showcase/step_0301056.npz
3,350000,350208,61.34761858405545,100,0.0,-5.216212170574501,0.12526143326555442,nan,3.3507752453973603,390.69612658080223,388.08984018574597,0.0,seed_3/checkpoints/step_0350208.npz,seed_3/showcase/step_0350208.npz
3,400000,401408,68.38341691717505,100,0.0,-5.210681169499501,0.12530568750669918,nan,3.2390524507782574,390.6833199054291,388.11723678457497,0.0,seed_3/checkpoints/step_0401408.npz,seed_3/showcase/step_0401408.npz
3,450000,450560,75.45168129215017,100,0.0,-5.180121639069702,0.11221064742702835,nan,2.8299490080379446,390.59801142922066,387.837781161213,0.0,seed_3/checkpoints/step_0450560.npz,seed_3/showcase/step_0450560.npz
3,500000,501760,82.57979166717269,100,0.0,-5.176136650350742,0.11376064199822541,nan,2.7243498849180816,390.6541068950251,388.0994877248311,0.0,seed_3/checkpoints/step_0501760.npz,seed_3/showcase/step_0501760.npz
3,550000,550912,90.1282957920339,100,0.0,-5.1810903613441495,0.11773103058982383,nan,2.7466021051969527,390.6776572129888,388.16277408743275,0.0,seed_3/checkpoints/step_0550912.npz,seed_3/showcase/step_0550912.npz
3,600000,600064,97.09845175012015,100,0.0,-5.170263080769976,0.11166891256263281,nan,2.593685364262434,390.6870627681832,387.80089751491414,0.0,seed_3/checkpoints/step_0600064.npz,seed_3/showcase/step_0600064.npz
3,650000,651264,104.09453016705811,100,0.0,-5.159472523138603,0.11017692624967484,nan,2.4320994842840786,390.6775532622775,388.1691253809765,0.0,seed_3/checkpoints/step_0651264.npz,seed_3/showcase/step_0651264.npz
3,700000,700416,111.13212679210119,100,0.0,-5.162023704538483,0.11304192576722974,nan,2.41651940200279,390.78929229402763,388.63495484074275,0.0,seed_3/checkpoints/step_0700416.npz,seed_3/showcase/step_0700416.npz
3,750000,751616,118.09735375014134,100,0.0,-5.161135598652179,0.11322872095585204,nan,2.368076023748729,390.91833221209794,389.02894288147513,0.0,seed_3/checkpoints/step_0751616.npz,seed_3/showcase/step_0751616.npz
3,800000,800768,124.979396375129,100,0.0,-5.160419313105918,0.11325234547402052,nan,2.3298991432885963,391.0424383185193,389.3693411261335,0.0,seed_3/checkpoints/step_0800768.npz,seed_3/showcase/step_0800768.npz
3,850000,851968,132.3594503751956,100,0.0,-5.1496999099004235,0.10825024155466165,nan,2.2317968339874095,390.8192126623329,388.72522848693166,0.0,seed_3/checkpoints/step_0851968.npz,seed_3/showcase/step_0851968.npz
3,900000,901120,140.82264762511477,100,0.0,-5.152202030966452,0.1093300938143417,nan,2.259740673125792,390.81228145742296,388.6079239737901,0.0,seed_3/checkpoints/step_0901120.npz,seed_3/showcase/step_0901120.npz
3,950000,950272,147.9189314590767,100,0.0,-5.160141387490849,0.11278313956014861,nan,2.347845626211831,390.8480089998535,388.5695418589673,0.0,seed_3/checkpoints/step_0950272.npz,seed_3/showcase/step_0950272.npz
3,1000000,1001472,154.9359233751893,100,0.0,-5.15809925267698,0.11228386843287415,nan,2.3211251439275484,390.8516340683271,388.7048290269962,0.0,seed_3/checkpoints/step_1001472.npz,seed_3/showcase/step_1001472.npz
