elapsed_s,utc,phase,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,utilization_percent,memory_used_mib,split,sequence,block_id,block_role,requested_power_limit_w,requested_clock_mhz,workload_phase
0.08639127899999721,2026-09-03T12:46:06.043034+00:00,initialization,210.0,405.0,13.5,51.0,0.0,0.0,,,,,,,
0.18673244800000077,2026-09-03T12:46:06.143367+00:00,initialization,210.0,405.0,13.5,51.0,0.0,0.0,,,,,,,
0.28722581299999206,2026-09-03T12:46:06.243863+00:00,initialization,210.0,405.0,13.5,51.0,0.0,0.0,,,,,,,
0.3866474829999902,2026-09-03T12:46:06.343285+00:00,initialization,210.0,405.0,13.5,51.0,0.0,0.0,,,,,,,
0.4868943299999984,2026-09-03T12:46:06.443530+00:00,initialization,210.0,405.0,13.5,52.0,0.0,0.0,,,,,,,
0.5874381779999993,2026-09-03T12:46:06.544074+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
0.6881491899999901,2026-09-03T12:46:06.644785+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
0.787341873999992,2026-09-03T12:46:06.743978+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
0.8892729829999979,2026-09-03T12:46:06.845910+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
0.9905817579999905,2026-09-03T12:46:06.947219+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.0958870689999998,2026-09-03T12:46:07.052529+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.1969754419999958,2026-09-03T12:46:07.153617+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.2976003449999922,2026-09-03T12:46:07.254245+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.399044081999989,2026-09-03T12:46:07.355692+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.4973892039999868,2026-09-03T12:46:07.454029+00:00,initialization,1140.0,6251.0,22.19,52.0,0.0,0.0,,,,,,,
1.5968168249999906,2026-09-03T12:46:07.553459+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
1.7006391669999914,2026-09-03T12:46:07.657296+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
1.8007095679999878,2026-09-03T12:46:07.757353+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
1.9098753169999867,2026-09-03T12:46:07.866519+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.0055780869999893,2026-09-03T12:46:07.962223+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.1034025419999978,2026-09-03T12:46:08.060043+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.2074034959999977,2026-09-03T12:46:08.164041+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.3024795249999954,2026-09-03T12:46:08.259121+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.406455604999991,2026-09-03T12:46:08.363098+00:00,initialization,1140.0,6251.0,22.38,52.0,0.0,0.0,,,,,,,
2.503962563999991,2026-09-03T12:46:08.460605+00:00,initialization,1140.0,6251.0,22.38,51.0,0.0,0.0,,,,,,,
2.6055754899999926,2026-09-03T12:46:08.562216+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
2.7031665680000003,2026-09-03T12:46:08.659811+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
2.8037337489999885,2026-09-03T12:46:08.760377+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
2.90709708899999,2026-09-03T12:46:08.863741+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.005060555,2026-09-03T12:46:08.961857+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.1040744749999902,2026-09-03T12:46:09.060719+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.2077790249999936,2026-09-03T12:46:09.164441+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.308543023999988,2026-09-03T12:46:09.265181+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.406566979999994,2026-09-03T12:46:09.363207+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.5079708159999967,2026-09-03T12:46:09.464611+00:00,initialization,210.0,405.0,19.9,51.0,0.0,0.0,,,,,,,
3.6127862829999913,2026-09-03T12:46:09.569441+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
3.709118769,2026-09-03T12:46:09.665758+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
3.810260280999998,2026-09-03T12:46:09.766903+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
3.906574940999988,2026-09-03T12:46:09.863212+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.012225581999999,2026-09-03T12:46:09.968870+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.107455911999992,2026-09-03T12:46:10.064117+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.209985809999992,2026-09-03T12:46:10.166635+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.310445657999992,2026-09-03T12:46:10.267085+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.409512465999995,2026-09-03T12:46:10.366152+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.509681143999998,2026-09-03T12:46:10.466322+00:00,initialization,210.0,405.0,15.24,51.0,0.0,0.0,,,,,,,
4.612942451999999,2026-09-03T12:46:10.569584+00:00,initialization,210.0,405.0,15.34,51.0,0.0,0.0,,,,,,,
4.7082693529999915,2026-09-03T12:46:10.664908+00:00,initialization,210.0,405.0,15.34,51.0,0.0,0.0,,,,,,,
4.810151981999994,2026-09-03T12:46:10.766792+00:00,initialization,210.0,405.0,15.34,51.0,0.0,0.0,,,,,,,
