phase,prompt_tokens,output_tokens,concurrency,requested_clock_mhz,realized_clock_mhz,repeat,ttft_s,tpot_s,total_s,energy_j,mean_power_w,peak_power_w,peak_temp_c,telemetry_sample_count,telemetry_fallback_used,request_index,completion_tokens,prompt_tokens_observed
prefill,128,1,1,210,210.0,0,0.19592306300000928,0.0,0.19607190900001115,5.44687763202031,27.78,28.58,59.0,2,False,0,1,128
prefill,128,1,1,210,210.0,1,0.1955083099999797,0.0,0.19564440999999988,5.732381212999996,29.299999999999997,30.02,59.0,2,False,0,1,128
prefill,128,1,1,210,210.0,2,0.19531069900000375,0.0,0.1955415620000167,6.028546356460515,30.83,31.1,59.0,2,False,0,1,128
prefill,128,1,1,210,210.0,3,0.19538104200000816,0.0,0.19558649399999695,7.221053358477789,36.92,37.07,59.0,2,False,0,1,128
prefill,128,1,1,210,210.0,4,0.19526743299996951,0.0,0.19540934399998378,7.3894043433615355,37.815,38.66,59.0,2,False,0,1,128
prefill,128,1,4,210,210.0,0,0.667203379,0.0,0.6676264700000161,6.13081855174455,36.50142857142857,38.42,59.0,7,False,0,1,128
prefill,128,1,4,210,210.0,0,0.1991679349999913,0.0,0.19934008600000652,6.13081855174455,36.50142857142857,38.42,59.0,7,False,1,1,128
prefill,128,1,4,210,210.0,0,0.6678213580000261,0.0,0.6681066689999966,6.13081855174455,36.50142857142857,38.42,59.0,7,False,2,1,128
prefill,128,1,4,210,210.0,0,0.668180556999971,0.0,0.6685176020000085,6.13081855174455,36.50142857142857,38.42,59.0,7,False,3,1,128
prefill,128,1,4,210,210.0,1,0.6683279910000124,0.0,0.668559173999995,6.416468848079552,38.30428571428571,38.64,59.0,7,False,0,1,128
prefill,128,1,4,210,210.0,1,0.6676391629999898,0.0,0.6679601900000307,6.416468848079552,38.30428571428571,38.64,59.0,7,False,1,1,128
prefill,128,1,4,210,210.0,1,0.6684272960000044,0.0,0.6685695850000002,6.416468848079552,38.30428571428571,38.64,59.0,7,False,2,1,128
prefill,128,1,4,210,210.0,1,0.19977581099999497,0.0,0.19991850200000272,6.416468848079552,38.30428571428571,38.64,59.0,7,False,3,1,128
prefill,128,1,4,210,210.0,2,0.6679524469999478,0.0,0.6683163889999832,6.388964519015028,38.17666666666667,38.4,59.0,6,False,0,1,128
prefill,128,1,4,210,210.0,2,0.6677038230000107,0.0,0.6678688140000304,6.388964519015028,38.17666666666667,38.4,59.0,6,False,1,1,128
prefill,128,1,4,210,210.0,2,0.1989477590000206,0.0,0.199074214999996,6.388964519015028,38.17666666666667,38.4,59.0,6,False,2,1,128
prefill,128,1,4,210,210.0,2,0.6680060000000481,0.0,0.6683460689999947,6.388964519015028,38.17666666666667,38.4,59.0,6,False,3,1,128
prefill,128,1,4,210,210.0,3,0.6675433030000022,0.0,0.6681316860000379,6.45381314466229,38.53142857142857,38.94,59.0,7,False,0,1,128
prefill,128,1,4,210,210.0,3,0.6683079709999902,0.0,0.6686670889999959,6.45381314466229,38.53142857142857,38.94,59.0,7,False,1,1,128
prefill,128,1,4,210,210.0,3,0.6674732910000216,0.0,0.6679365830000279,6.45381314466229,38.53142857142857,38.94,59.0,7,False,2,1,128
prefill,128,1,4,210,210.0,3,0.19974092499995777,0.0,0.19987837299999,6.45381314466229,38.53142857142857,38.94,59.0,7,False,3,1,128
prefill,128,1,4,210,210.0,4,0.6677137479999828,0.0,0.6680940630000123,6.444678226644437,38.49,39.0,59.0,7,False,0,1,128
prefill,128,1,4,210,210.0,4,0.19927460700000665,0.0,0.19941523300002473,6.444678226644437,38.49,39.0,59.0,7,False,1,1,128
prefill,128,1,4,210,210.0,4,0.6677624110000124,0.0,0.6679276870000308,6.444678226644437,38.49,39.0,59.0,7,False,2,1,128
prefill,128,1,4,210,210.0,4,0.6680161620000149,0.0,0.6683548990000077,6.444678226644437,38.49,39.0,59.0,7,False,3,1,128
prefill,128,1,8,210,210.0,0,1.2681778319999921,0.0,1.268675016999964,5.565367476095525,35.026153846153846,35.85,59.0,13,False,0,1,128
prefill,128,1,8,210,210.0,0,1.2693314989999749,0.0,1.2695221550000042,5.565367476095525,35.026153846153846,35.85,59.0,13,False,1,1,128
prefill,128,1,8,210,210.0,0,1.2667693160000226,0.0,1.266884929000014,5.565367476095525,35.026153846153846,35.85,59.0,13,False,2,1,128
prefill,128,1,8,210,210.0,0,0.20443249800001695,0.0,0.2045694369999751,5.565367476095525,35.026153846153846,35.85,59.0,13,False,3,1,128
prefill,128,1,8,210,210.0,0,1.2681334130000437,0.0,1.268999713000028,5.565367476095525,35.026153846153846,35.85,59.0,13,False,4,1,128
prefill,128,1,8,210,210.0,0,1.2674121349999723,0.0,1.2680337449999683,5.565367476095525,35.026153846153846,35.85,59.0,13,False,5,1,128
prefill,128,1,8,210,210.0,0,1.2676907519999645,0.0,1.2680478149999885,5.565367476095525,35.026153846153846,35.85,59.0,13,False,6,1,128
prefill,128,1,8,210,210.0,0,1.2692788589999964,0.0,1.2699792370000296,5.565367476095525,35.026153846153846,35.85,59.0,13,False,7,1,128
prefill,128,1,8,210,210.0,1,1.2677859060000287,0.0,1.268388146999996,5.669014836967986,35.68384615384616,35.92,60.0,13,False,0,1,128
prefill,128,1,8,210,210.0,1,1.266237197999999,0.0,1.2668408509999836,5.669014836967986,35.68384615384616,35.92,60.0,13,False,1,1,128
prefill,128,1,8,210,210.0,1,0.20301114500000494,0.0,0.20314443600000232,5.669014836967986,35.68384615384616,35.92,60.0,13,False,2,1,128
prefill,128,1,8,210,210.0,1,1.2661200250000206,0.0,1.2671431919999918,5.669014836967986,35.68384615384616,35.92,60.0,13,False,3,1,128
prefill,128,1,8,210,210.0,1,1.2668008360000158,0.0,1.266907529999969,5.669014836967986,35.68384615384616,35.92,60.0,13,False,4,1,128
prefill,128,1,8,210,210.0,1,1.2663339679999694,0.0,1.2671612539999728,5.669014836967986,35.68384615384616,35.92,60.0,13,False,5,1,128
prefill,128,1,8,210,210.0,1,1.2674807099999725,0.0,1.267681687999982,5.669014836967986,35.68384615384616,35.92,60.0,13,False,6,1,128
prefill,128,1,8,210,210.0,1,1.2674971359999745,0.0,1.2686291809999943,5.669014836967986,35.68384615384616,35.92,60.0,13,False,7,1,128
prefill,128,1,8,210,210.0,2,1.2620601369999918,0.0,1.2627240529999995,5.665031761425334,35.81083333333334,35.99,60.0,12,False,0,1,128
prefill,128,1,8,210,210.0,2,1.2637738569999897,0.0,1.2639184999999884,5.665031761425334,35.81083333333334,35.99,60.0,12,False,1,1,128
prefill,128,1,8,210,210.0,2,1.2590726899999822,0.0,1.2600323379999736,5.665031761425334,35.81083333333334,35.99,60.0,12,False,2,1,128
prefill,128,1,8,210,210.0,2,1.2630143780000367,0.0,1.2631084610000016,5.665031761425334,35.81083333333334,35.99,60.0,12,False,3,1,128
prefill,128,1,8,210,210.0,2,1.259022189999996,0.0,1.2601398399999653,5.665031761425334,35.81083333333334,35.99,60.0,12,False,4,1,128
prefill,128,1,8,210,210.0,2,1.262551421000012,0.0,1.2631966619999844,5.665031761425334,35.81083333333334,35.99,60.0,12,False,5,1,128
prefill,128,1,8,210,210.0,2,1.2614538249999896,0.0,1.262081787999989,5.665031761425334,35.81083333333334,35.99,60.0,12,False,6,1,128
prefill,128,1,8,210,210.0,2,0.19910914899998033,0.0,0.1992650020000042,5.665031761425334,35.81083333333334,35.99,60.0,12,False,7,1,128
prefill,128,1,8,210,210.0,3,1.268238397999994,0.0,1.269071820000022,5.700703473506625,35.86692307692307,36.29,60.0,13,False,0,1,128
prefill,128,1,8,210,210.0,3,1.2671572379999816,0.0,1.2677672359999974,5.700703473506625,35.86692307692307,36.29,60.0,13,False,1,1,128
prefill,128,1,8,210,210.0,3,1.2672240779999697,0.0,1.2679229599999644,5.700703473506625,35.86692307692307,36.29,60.0,13,False,2,1,128
prefill,128,1,8,210,210.0,3,1.2682442349999974,0.0,1.2687037360000204,5.700703473506625,35.86692307692307,36.29,60.0,13,False,3,1,128
prefill,128,1,8,210,210.0,3,1.266284110000015,0.0,1.2669359930000041,5.700703473506625,35.86692307692307,36.29,60.0,13,False,4,1,128
prefill,128,1,8,210,210.0,3,0.20285194199999523,0.0,0.203016937999962,5.700703473506625,35.86692307692307,36.29,60.0,13,False,5,1,128
prefill,128,1,8,210,210.0,3,1.2669105800000011,0.0,1.2670626240000047,5.700703473506625,35.86692307692307,36.29,60.0,13,False,6,1,128
prefill,128,1,8,210,210.0,3,1.2691440169999737,0.0,1.2692948979999983,5.700703473506625,35.86692307692307,36.29,60.0,13,False,7,1,128
prefill,128,1,8,210,210.0,4,1.2669798109999988,0.0,1.267081155000028,5.634202227409077,35.47846153846154,35.78,60.0,13,False,0,1,128
prefill,128,1,8,210,210.0,4,1.2670446710000078,0.0,1.2673024939999777,5.634202227409077,35.47846153846154,35.78,60.0,13,False,1,1,128
prefill,128,1,8,210,210.0,4,0.20239294200001723,0.0,0.20253393100000494,5.634202227409077,35.47846153846154,35.78,60.0,13,False,2,1,128
prefill,128,1,8,210,210.0,4,1.2673351029999935,0.0,1.2674819459999753,5.634202227409077,35.47846153846154,35.78,60.0,13,False,3,1,128
prefill,128,1,8,210,210.0,4,1.265919451000002,0.0,1.266418514999998,5.634202227409077,35.47846153846154,35.78,60.0,13,False,4,1,128
prefill,128,1,8,210,210.0,4,1.265923301999976,0.0,1.2665656639999838,5.634202227409077,35.47846153846154,35.78,60.0,13,False,5,1,128
prefill,128,1,8,210,210.0,4,1.2658639829999743,0.0,1.2670571919999816,5.634202227409077,35.47846153846154,35.78,60.0,13,False,6,1,128
prefill,128,1,8,210,210.0,4,1.2675159409999992,0.0,1.2685884549999855,5.634202227409077,35.47846153846154,35.78,60.0,13,False,7,1,128
prefill,512,1,1,210,210.0,0,0.635432647000016,0.0,0.6355697620000456,21.373474885798053,33.57833333333333,35.4,60.0,6,False,0,1,512
prefill,512,1,1,210,210.0,1,0.6354347019999977,0.0,0.635596712999984,22.57482550044645,35.51166666666666,35.6,60.0,6,False,0,1,512
prefill,512,1,1,210,210.0,2,0.6354254899999887,0.0,0.6355846370000222,22.559002722424946,35.49285714285714,35.54,60.0,7,False,0,1,512
prefill,512,1,1,210,210.0,3,0.6353219599999989,0.0,0.6355089470000053,22.581863748288168,35.531666666666666,35.58,60.0,6,False,0,1,512
prefill,512,1,1,210,210.0,4,0.6354615620000459,0.0,0.6356383510000114,22.439810904945404,35.29833333333333,35.34,60.0,6,False,0,1,512
prefill,512,1,4,210,210.0,0,2.425544259999981,0.0,2.425991296999996,20.880624984199734,34.387600000000006,35.03,60.0,25,False,0,1,512
prefill,512,1,4,210,210.0,0,0.6400125939999839,0.0,0.640160891999983,20.880624984199734,34.387600000000006,35.03,60.0,25,False,1,1,512
prefill,512,1,4,210,210.0,0,2.4261893679999957,0.0,2.426571712999987,20.880624984199734,34.387600000000006,35.03,60.0,25,False,2,1,512
prefill,512,1,4,210,210.0,0,2.4270450390000065,0.0,2.427340574000027,20.880624984199734,34.387600000000006,35.03,60.0,25,False,3,1,512
prefill,512,1,4,210,210.0,1,2.425684141999966,0.0,2.4260286389999806,21.021903901431266,34.61625000000001,35.56,60.0,24,False,0,1,512
prefill,512,1,4,210,210.0,1,2.4260617470000057,0.0,2.426726237999958,21.021903901431266,34.61625000000001,35.56,60.0,24,False,1,1,512
prefill,512,1,4,210,210.0,1,2.426229291000027,0.0,2.4265437380000208,21.021903901431266,34.61625000000001,35.56,60.0,24,False,2,1,512
prefill,512,1,4,210,210.0,1,0.639729224000007,0.0,0.6398762549999901,21.021903901431266,34.61625000000001,35.56,60.0,24,False,3,1,512
prefill,512,1,4,210,210.0,2,0.6401203190000047,0.0,0.6402630860000045,20.661895960581216,34.03291666666667,34.72,60.0,24,False,0,1,512
prefill,512,1,4,210,210.0,2,2.4259561449999865,0.0,2.4262624130000177,20.661895960581216,34.03291666666667,34.72,60.0,24,False,1,1,512
prefill,512,1,4,210,210.0,2,2.4254294250000044,0.0,2.425852442000007,20.661895960581216,34.03291666666667,34.72,60.0,24,False,2,1,512
prefill,512,1,4,210,210.0,2,2.4261951249999925,0.0,2.426752865000026,20.661895960581216,34.03291666666667,34.72,60.0,24,False,3,1,512
prefill,512,1,4,210,210.0,3,2.4267316529999903,0.0,2.4270485789999725,20.90611513685233,34.418749999999996,35.05,61.0,24,False,0,1,512
prefill,512,1,4,210,210.0,3,2.4265716129999646,0.0,2.426792887999966,20.90611513685233,34.418749999999996,35.05,61.0,24,False,1,1,512
prefill,512,1,4,210,210.0,3,2.426642788000038,0.0,2.4270649970000022,20.90611513685233,34.418749999999996,35.05,61.0,24,False,2,1,512
prefill,512,1,4,210,210.0,3,0.6403469979999841,0.0,0.6404945499999712,20.90611513685233,34.418749999999996,35.05,61.0,24,False,3,1,512
prefill,512,1,4,210,210.0,4,2.4279286519999914,0.0,2.4282691450000016,20.973663712379164,34.5092,35.25,61.0,25,False,0,1,512
prefill,512,1,4,210,210.0,4,0.6415886180000143,0.0,0.641754781999964,20.973663712379164,34.5092,35.25,61.0,25,False,1,1,512
prefill,512,1,4,210,210.0,4,2.428166104000013,0.0,2.4283218799999986,20.973663712379164,34.5092,35.25,61.0,25,False,2,1,512
prefill,512,1,4,210,210.0,4,2.4288174110000114,0.0,2.429410725000025,20.973663712379164,34.5092,35.25,61.0,25,False,3,1,512
prefill,512,1,8,210,210.0,0,3.020978676000027,0.0,3.021242712000003,20.470429625718154,34.060624999999995,34.79,61.0,48,False,0,1,512
prefill,512,1,8,210,210.0,0,3.021398115000011,0.0,3.0220790240000497,20.470429625718154,34.060624999999995,34.79,61.0,48,False,1,1,512
prefill,512,1,8,210,210.0,0,4.80474928000001,0.0,4.80489839300003,20.470429625718154,34.060624999999995,34.79,61.0,48,False,2,1,512
prefill,512,1,8,210,210.0,0,0.6447301120000475,0.0,0.6449478030000364,20.470429625718154,34.060624999999995,34.79,61.0,48,False,3,1,512
prefill,512,1,8,210,210.0,0,4.804747830999986,0.0,4.805141945000059,20.470429625718154,34.060624999999995,34.79,61.0,48,False,4,1,512
prefill,512,1,8,210,210.0,0,3.0206004419999317,0.0,3.0211563860000297,20.470429625718154,34.060624999999995,34.79,61.0,48,False,5,1,512
prefill,512,1,8,210,210.0,0,4.805035932999999,0.0,4.805326064000042,20.470429625718154,34.060624999999995,34.79,61.0,48,False,6,1,512
prefill,512,1,8,210,210.0,0,3.0219008999999915,0.0,3.0222900789999585,20.470429625718154,34.060624999999995,34.79,61.0,48,False,7,1,512
prefill,512,1,8,210,210.0,1,3.021896383000012,0.0,3.0226186769999686,20.529503218209946,34.153673469387755,34.76,61.0,49,False,0,1,512
prefill,512,1,8,210,210.0,1,4.806297330000007,0.0,4.806757470999969,20.529503218209946,34.153673469387755,34.76,61.0,49,False,1,1,512
prefill,512,1,8,210,210.0,1,0.645180124000035,0.0,0.645334618999982,20.529503218209946,34.153673469387755,34.76,61.0,49,False,2,1,512
prefill,512,1,8,210,210.0,1,3.0197909379999146,0.0,3.020240109999918,20.529503218209946,34.153673469387755,34.76,61.0,49,False,3,1,512
prefill,512,1,8,210,210.0,1,3.0218776320000416,0.0,3.022275336000007,20.529503218209946,34.153673469387755,34.76,61.0,49,False,4,1,512
prefill,512,1,8,210,210.0,1,4.805626248999943,0.0,4.8059953279999945,20.529503218209946,34.153673469387755,34.76,61.0,49,False,5,1,512
prefill,512,1,8,210,210.0,1,4.806198692000066,0.0,4.806506736000074,20.529503218209946,34.153673469387755,34.76,61.0,49,False,6,1,512
prefill,512,1,8,210,210.0,1,3.022622362999982,0.0,3.0230679290000353,20.529503218209946,34.153673469387755,34.76,61.0,49,False,7,1,512
prefill,512,1,8,210,210.0,2,3.0208225659999925,0.0,3.021352325999942,20.450273832359493,34.02520833333334,34.79,61.0,48,False,0,1,512
prefill,512,1,8,210,210.0,2,3.0221574160000273,0.0,3.022569039000018,20.450273832359493,34.02520833333334,34.79,61.0,48,False,1,1,512
prefill,512,1,8,210,210.0,2,3.020689764999929,0.0,3.0214065750000145,20.450273832359493,34.02520833333334,34.79,61.0,48,False,2,1,512
prefill,512,1,8,210,210.0,2,0.6446446219999871,0.0,0.6448507590000645,20.450273832359493,34.02520833333334,34.79,61.0,48,False,3,1,512
prefill,512,1,8,210,210.0,2,4.805078875999925,0.0,4.805264007000005,20.450273832359493,34.02520833333334,34.79,61.0,48,False,4,1,512
prefill,512,1,8,210,210.0,2,3.0221796710000035,0.0,3.0224885220000033,20.450273832359493,34.02520833333334,34.79,61.0,48,False,5,1,512
prefill,512,1,8,210,210.0,2,4.803422515000079,0.0,4.803547589000004,20.450273832359493,34.02520833333334,34.79,61.0,48,False,6,1,512
prefill,512,1,8,210,210.0,2,4.807319622000023,0.0,4.8076008880000245,20.450273832359493,34.02520833333334,34.79,61.0,48,False,7,1,512
prefill,512,1,8,210,210.0,3,4.806875073000015,0.0,4.807076445999996,20.591463383194792,34.26208333333332,35.12,62.0,48,False,0,1,512
prefill,512,1,8,210,210.0,3,4.805688491000069,0.0,4.805868326999985,20.591463383194792,34.26208333333332,35.12,62.0,48,False,1,1,512
prefill,512,1,8,210,210.0,3,3.0223797449999665,0.0,3.0225349720000168,20.591463383194792,34.26208333333332,35.12,62.0,48,False,2,1,512
prefill,512,1,8,210,210.0,3,4.804856887999904,0.0,4.805570904999968,20.591463383194792,34.26208333333332,35.12,62.0,48,False,3,1,512
prefill,512,1,8,210,210.0,3,3.02096622199997,0.0,3.0213880430000017,20.591463383194792,34.26208333333332,35.12,62.0,48,False,4,1,512
prefill,512,1,8,210,210.0,3,3.0210610280000765,0.0,3.0214625260000503,20.591463383194792,34.26208333333332,35.12,62.0,48,False,5,1,512
prefill,512,1,8,210,210.0,3,3.0207533159999684,0.0,3.021071941999935,20.591463383194792,34.26208333333332,35.12,62.0,48,False,6,1,512
prefill,512,1,8,210,210.0,3,0.6454451729999846,0.0,0.6455844989999378,20.591463383194792,34.26208333333332,35.12,62.0,48,False,7,1,512
prefill,512,1,8,210,210.0,4,4.80665090399998,0.0,4.806766153000012,20.577596740343072,34.23791666666668,35.04,62.0,48,False,0,1,512
prefill,512,1,8,210,210.0,4,0.6437228789999381,0.0,0.6438964989999931,20.577596740343072,34.23791666666668,35.04,62.0,48,False,1,1,512
prefill,512,1,8,210,210.0,4,4.804981207000083,0.0,4.805439035000063,20.577596740343072,34.23791666666668,35.04,62.0,48,False,2,1,512
prefill,512,1,8,210,210.0,4,3.0212367679999943,0.0,3.0213687429999254,20.577596740343072,34.23791666666668,35.04,62.0,48,False,3,1,512
prefill,512,1,8,210,210.0,4,4.8048626499999045,0.0,4.80505385999993,20.577596740343072,34.23791666666668,35.04,62.0,48,False,4,1,512
prefill,512,1,8,210,210.0,4,3.0198072230000435,0.0,3.019927335000034,20.577596740343072,34.23791666666668,35.04,62.0,48,False,5,1,512
prefill,512,1,8,210,210.0,4,3.0207908190000126,0.0,3.0213461250000364,20.577596740343072,34.23791666666668,35.04,62.0,48,False,6,1,512
prefill,512,1,8,210,210.0,4,3.0221365849999984,0.0,3.0223471689999997,20.577596740343072,34.23791666666668,35.04,62.0,48,False,7,1,512
prefill,2048,1,1,210,210.0,0,2.4637189150000722,0.0,2.4638590089999752,83.15013206502918,33.74999999999999,34.15,62.0,25,False,0,1,2048
prefill,2048,1,1,210,210.0,1,2.4635889990000805,0.0,2.463762187000043,83.36899774983772,33.84291666666666,34.22,62.0,24,False,0,1,2048
prefill,2048,1,1,210,210.0,2,2.4633121470000106,0.0,2.46345066899994,83.75237652603371,33.997600000000006,34.44,62.0,25,False,0,1,2048
prefill,2048,1,1,210,210.0,3,2.464281436999954,0.0,2.4644667759999948,83.30310968887919,33.79879999999999,34.03,62.0,25,False,0,1,2048
prefill,2048,1,1,210,210.0,4,2.463290787999995,0.0,2.4634337219999907,83.27424688948469,33.81,34.1,62.0,24,False,0,1,2048
prefill,2048,1,4,210,210.0,0,9.832460259999948,0.0,9.832596781999996,83.75855636575314,34.07112244897957,34.72,63.0,98,False,0,1,2048
prefill,2048,1,4,210,210.0,0,7.377324733000023,0.0,7.377474169000038,83.75855636575314,34.07112244897957,34.72,63.0,98,False,1,1,2048
prefill,2048,1,4,210,210.0,0,4.9237695430000485,0.0,4.923908401000062,83.75855636575314,34.07112244897957,34.72,63.0,98,False,2,1,2048
prefill,2048,1,4,210,210.0,0,2.4704982619999782,0.0,2.4706880930000352,83.75855636575314,34.07112244897957,34.72,63.0,98,False,3,1,2048
prefill,2048,1,4,210,210.0,1,7.377070527000001,0.0,7.377212369000063,83.64183502271601,34.028585858585856,34.39,64.0,99,False,0,1,2048
prefill,2048,1,4,210,210.0,1,9.830012682000074,0.0,9.830172594000032,83.64183502271601,34.028585858585856,34.39,64.0,99,False,1,1,2048
prefill,2048,1,4,210,210.0,1,2.469014375000029,0.0,2.4691754309999396,83.64183502271601,34.028585858585856,34.39,64.0,99,False,2,1,2048
prefill,2048,1,4,210,210.0,1,4.923957085999973,0.0,4.9241176259999975,83.64183502271601,34.028585858585856,34.39,64.0,99,False,3,1,2048
prefill,2048,1,4,210,210.0,2,2.468583264000017,0.0,2.468727788000024,83.69511231832414,34.0508163265306,34.4,64.0,98,False,0,1,2048
prefill,2048,1,4,210,210.0,2,9.830362732000026,0.0,9.83056264000004,83.69511231832414,34.0508163265306,34.4,64.0,98,False,1,1,2048
prefill,2048,1,4,210,210.0,2,7.376145262000023,0.0,7.376280285000007,83.69511231832414,34.0508163265306,34.4,64.0,98,False,2,1,2048
prefill,2048,1,4,210,210.0,2,4.923245241000018,0.0,4.923389878999956,83.69511231832414,34.0508163265306,34.4,64.0,98,False,3,1,2048
prefill,2048,1,4,210,210.0,3,9.830914784000015,0.0,9.831057129999976,84.18060693512966,34.24836734693879,34.96,64.0,98,False,0,1,2048
prefill,2048,1,4,210,210.0,3,7.375913053999966,0.0,7.3761050879999175,84.18060693512966,34.24836734693879,34.96,64.0,98,False,1,1,2048
prefill,2048,1,4,210,210.0,3,4.922202891999973,0.0,4.92240200599997,84.18060693512966,34.24836734693879,34.96,64.0,98,False,2,1,2048
prefill,2048,1,4,210,210.0,3,2.4690814040000078,0.0,2.4692222720000245,84.18060693512966,34.24836734693879,34.96,64.0,98,False,3,1,2048
prefill,2048,1,4,210,210.0,4,2.4693456439999864,0.0,2.4694767830000046,83.9549462351107,34.15265306122449,34.67,64.0,98,False,0,1,2048
prefill,2048,1,4,210,210.0,4,7.376655315999983,0.0,7.376797040000042,83.9549462351107,34.15265306122449,34.67,64.0,98,False,1,1,2048
prefill,2048,1,4,210,210.0,4,9.831542130999992,0.0,9.831707670000014,83.9549462351107,34.15265306122449,34.67,64.0,98,False,2,1,2048
prefill,2048,1,4,210,210.0,4,4.923978647000013,0.0,4.924167631000046,83.9549462351107,34.15265306122449,34.67,64.0,98,False,3,1,2048
prefill,2048,1,8,210,210.0,0,4.9324368769999865,0.0,4.932573593000029,84.37727278405004,34.338274111675126,35.43,65.0,197,False,0,1,2048
prefill,2048,1,8,210,210.0,0,12.292939628999989,0.0,12.293095160999997,84.37727278405004,34.338274111675126,35.43,65.0,197,False,1,1,2048
prefill,2048,1,8,210,210.0,0,17.20012250000002,0.0,17.200321291000023,84.37727278405004,34.338274111675126,35.43,65.0,197,False,2,1,2048
prefill,2048,1,8,210,210.0,0,7.386098630999982,0.0,7.38631438799996,84.37727278405004,34.338274111675126,35.43,65.0,197,False,3,1,2048
