clock_mhz,prefill_tokens_per_s,decode_tokens_per_s,idle_power_w,prefill_power_w,decode_power_w
210.0,805.9829415796837,35.2984797184085,21.9,34.501924269707885,47.905523989899024
660.0,2441.594570395764,60.99002085842719,22.9,54.79484375,59.68348867595817
1125.0,3311.2545215321516,63.93534980807472,23.39,64.2721920289855,62.73990733688754
2040.0,3313.832301215534,64.35870165977747,30.77,64.06764583333334,64.85183697881067
