scenario,seed,controller,attempted_rentals,served_rentals,attempted_returns,accepted_returns,lost_rentals,rejected_returns,service_failures,bikes_moved,truck_distance_km,unrealized_transfer_bikes,terminal_imbalance,terminal_truck_inventory,objective
nominal,18,feedback,65,65,75,75,0,0,0,32,6.529400530244976,0,19.5,0,4.855880106048995
nominal,19,none,62,62,76,65,0,11,11,0,0.0,0,28.5,0,13.85
nominal,19,open_loop,62,62,76,68,0,8,8,6,0.8533739059724342,0,25.5,0,11.020674781194488
nominal,19,feedback,62,62,76,74,0,2,2,18,2.5601217179173026,0,19.5,0,5.36202434358346
nominal,20,none,64,64,81,69,0,12,12,0,0.0,0,25.5,0,14.55
nominal,20,open_loop,64,64,81,71,0,10,10,6,0.8533739059724342,0,24.5,0,12.920674781194489
nominal,20,feedback,64,64,81,76,0,5,5,26,4.1054355252932195,0,19.5,0,9.071087105058645
nominal,21,none,58,58,58,58,0,0,0,0,0.0,0,26.5,0,2.6500000000000004
nominal,21,open_loop,58,58,58,56,0,2,2,6,0.8533739059724342,0,22.5,0,4.720674781194487
nominal,21,feedback,58,58,58,58,0,0,0,16,5.539869911306996,0,16.5,0,3.5579739822613994
nominal,22,none,60,60,71,64,0,7,7,0,0.0,0,24.5,0,9.45
nominal,22,open_loop,60,60,71,67,0,4,4,6,0.8533739059724342,0,21.5,0,6.620674781194486
nominal,22,feedback,60,60,71,71,0,0,0,30,4.266869529862171,0,24.5,0,4.8033739059724345
nominal,23,none,71,71,81,69,0,12,12,0,0.0,0,32.5,0,15.25
nominal,23,open_loop,71,71,81,72,0,9,9,6,0.8533739059724342,0,29.5,0,12.420674781194489
nominal,23,feedback,71,71,81,81,0,0,0,30,8.210871050586439,0,16.5,0,4.792174210117288
nominal,24,none,63,63,73,73,0,0,0,0,0.0,0,27.5,0,2.75
nominal,24,open_loop,63,63,73,73,0,0,0,6,0.8533739059724342,0,27.5,0,3.2206747811944867
nominal,24,feedback,63,63,73,73,0,0,0,26,7.852955494896612,0,16.5,0,4.520591098979323
nominal,25,none,63,63,77,67,0,10,10,0,0.0,0,26.5,0,12.65
nominal,25,open_loop,63,63,77,70,0,7,7,6,0.8533739059724342,0,23.5,0,9.820674781194487
nominal,25,feedback,63,63,77,76,0,1,1,18,6.504123238641571,0,26.5,0,5.850824647728315
nominal,26,none,65,65,94,81,0,13,13,0,0.0,0,22.5,0,15.25
nominal,26,open_loop,65,65,94,84,0,10,10,6,0.8533739059724342,0,25.5,0,13.020674781194488
nominal,26,feedback,65,65,94,89,0,5,5,16,1.681470520341463,0,30.5,0,9.186294104068292
nominal,27,none,59,59,90,75,0,15,15,0,0.0,0,22.5,0,17.25
nominal,27,open_loop,59,59,90,78,0,12,12,6,0.8533739059724342,0,25.5,0,15.020674781194488
nominal,27,feedback,59,59,90,75,0,15,15,0,0.0,0,22.5,0,17.25
nominal,28,none,86,86,92,75,0,17,17,0,0.0,0,41.5,0,21.15
nominal,28,open_loop,86,86,92,75,0,17,17,6,0.8533739059724342,0,41.5,0,21.620674781194488
nominal,28,feedback,86,86,92,82,0,10,10,20,4.711773296937967,0,36.5,8,15.592354659387594
nominal,29,none,61,61,75,68,0,7,7,0,0.0,0,23.5,0,9.35
nominal,29,open_loop,61,61,75,71,0,4,4,6,0.8533739059724342,0,20.5,0,6.5206747811944865
nominal,29,feedback,61,61,75,75,0,0,0,20,4.958809431265654,0,21.5,0,4.14176188625313
nominal,30,none,67,67,70,70,0,0,0,0,0.0,0,26.5,0,2.6500000000000004
