estimator,label,rms_angle_deg,peak_acceleration_window_deg,final_abs_angle_deg,normalized_torque_effort,saturation_fraction,regulation_score,estimator_rmse_deg,final_bias_true_deg_s,final_bias_estimate_deg_s,peak_torque_nm
accelerometer,Accelerometer as state,3.8608410246991625,19.002610156429327,0.07881603070621515,0.03558288986945728,0.01,0.5986188764715282,3.725362961751867,0.7751820322427571,0.0,0.18
gyro,Integrated gyroscope,4.599871032722345,4.314261463220147,7.729291094947519,0.007864285025128875,0.0,0.8452024298658711,4.507437852123215,0.7751820322427571,0.0,0.12831056324666598
complementary,Complementary observer,2.4253680197920935,6.074238951757115,0.5767506923153715,0.008172119096252125,0.0,0.23592699795883523,2.1160215876714816,0.7751820322427571,0.5892336957199299,0.12831056324666598
